OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
11,Anderson Street-Hackensack,Bergen,40.89446,-74.04378,5,System.Byte[],PV,STATIONS,Hackensack,PV,NO,Pascack Valley Line,Pascack Valley Line,618246.092422497,751074.940658905
12,Jersey Avenue,Middlesex,40.4769,-74.46733,64,System.Byte[],NE,STATIONS,New Brunswick,NE,NO,Northeast Corridor,Northeast Corridor Line,501213.228719663,598636.056560904
13,Middletown,"Orange, NY",41.45734,-74.37036,87,System.Byte[],ST,STATIONS,"Wallkill, Town Of",ST,YES,Southern Tier,Port Jervis Line,527658.740132995,955844.328363404
14,Harriman,"Orange, NY",41.29338,-74.14002,55,System.Byte[],ST,STATIONS,"Woodbury, Town Of",ST,YES,Southern Tier,Port Jervis Line,591039.75641533,896284.861196488
15,Perth Amboy,Middlesex,40.50937,-74.2737,120,System.Byte[],NC,STATIONS,Perth Amboy,NC,NO,North Jersey Coast Line,North Jersey Coast Line,555045.146318078,610543.227300324
16,Plainfield,Union,40.61843,-74.42016,121,System.Byte[],RV,STATIONS,Plainfield,RV,YES,Raritan Valley Line,Raritan Valley Line,514288.970612746,650199.185061738
17,Lincoln Park,Morris,40.92414,-74.30182,69,System.Byte[],MC,STATIONS,Lincoln Park,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,546885.252204828,761623.499942325
18,Lindenwold,Camden,39.83376,-75.00024,71,System.Byte[],AC,STATIONS,Lindenwold,AC,YES,Atlantic City Line,Atlantic City Line,351651.666622911,364755.489217989
19,Hamilton,Mercer,40.25531,-74.70412,RAIL0163,System.Byte[],NE,STATIONS,Hamilton Twp,NE,YES,Northeast Corridor,Northeast Corridor Line,435157.159388494,517978.645041406
20,Berkeley Heights,Union,40.68233,-74.44267,17,System.Byte[],GL,STATIONS,Berkeley Heights Twp,GL,NO,Gladstone Branch,Gladstone Branch,508023.982158497,673474.764494739
21,Maplewood,Essex,40.73116,-74.2754,81,System.Byte[],ME,STATIONS,Maplewood Twp,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",554366.040720914,691336.472865738
22,Atco,Camden,39.78362,-74.90771,9,System.Byte[],AC,STATIONS,Waterford Twp,AC,YES,Atlantic City Line,Atlantic City Line,377552.306750663,346361.713997737
23,Avenel,Middlesex,40.57769,-74.27746,11,System.Byte[],NC,STATIONS,Woodbridge Twp,NC,NO,North Jersey Coast Line,North Jersey Coast Line,553936.532393578,635426.622743405
