OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
76,Westfield,Union,40.64946,-74.34762,156,System.Byte[],RV,STATIONS,Westfield,RV,YES,Raritan Valley Line,Raritan Valley Line,534403.600658994,661529.018373154
77,Peapack,Somerset,40.70878,-74.65846,118,System.Byte[],GL,STATIONS,Peapack,GL,NO,Gladstone Branch,Gladstone Branch,448196.807849828,683143.44988174
78,Millington,Morris,40.67352,-74.5236,89,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,Gladstone Branch,Gladstone Branch,485580.573305245,670261.310619824
79,Lake Hopatcong,Morris,40.90433,-74.66573,67,System.Byte[],ME,STATIONS,Roxbury Twp,"ME, MC",NO,Morristown Line,"Morristown Line, Montclair-Boonton Line",446316.888381328,754387.691251241
80,Little Falls,Passaic,40.88067,-74.23537,72,System.Byte[],MC,STATIONS,Little Falls Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,565295.880409747,745835.628302902
81,Absecon,Atlantic,39.42432,-74.50209,2,System.Byte[],AC,STATIONS,Absecon,AC,YES,Atlantic City Line,Atlantic City Line,491534.530557413,215235.863389075
82,Metropark,Middlesex,40.56858,-74.32933,84,System.Byte[],NE,STATIONS,Woodbridge Twp,NE,YES,Northeast Corridor,Northeast Corridor Line,539535.568085328,632074.760352656
83,Princeton,Mercer,40.34209,-74.65887,125,System.Byte[],PRIN,STATIONS,Princeton,PRIN,YES,Princeton Dinky,Princeton Dinky,447841.848914079,549565.777733155
84,Manasquan,Monmouth,40.12062,-74.04764,79,System.Byte[],NC,STATIONS,Manasquan,NC,NO,North Jersey Coast Line,North Jersey Coast Line,618622.850527246,469173.845997654
85,Woodcliff Lake,Bergen,41.02108,-74.04077,160,System.Byte[],PV,STATIONS,Woodcliff Lake,PV,NO,Pascack Valley Line,Pascack Valley Line,618834.39898866,797208.711252071
86,Wayne Route 23 Transit Center,Passaic,40.90026,-74.25697,RAIL0172,System.Byte[],MC,STATIONS,Wayne Twp,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,559302.582356997,752955.149168819
87,Montclair St Univ,Essex,40.86978,-74.19743,RAIL0165,System.Byte[],MC,STATIONS,Little Falls Twp,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,575799.076594912,741902.150277488
88,Asbury Park,Monmouth,40.21536,-74.01479,8,System.Byte[],NC,STATIONS,Asbury Park,NC,YES,North Jersey Coast Line,North Jersey Coast Line,627622.289549328,503731.988823488
89,Little Silver,Monmouth,40.32671,-74.04105,73,System.Byte[],NC,STATIONS,Little Silver,NC,NO,North Jersey Coast Line,North Jersey Coast Line,620077.395190328,544255.054430738
90,Bridgewater,Somerset,40.55991,-74.55174,24,System.Byte[],RV,STATIONS,Bridgewater Twp,RV,NO,Raritan Valley Line,Raritan Valley Line,477750.284831997,628877.264779158
91,Garwood,Union,40.65257,-74.32483,47,System.Byte[],RV,STATIONS,Garwood,RV,NO,Raritan Valley Line,Raritan Valley Line,540724.92922366,662673.905190989
92,Orange,Essex,40.77189,-74.23313,113,System.Byte[],ME,STATIONS,City Of Orange Twp,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",566036.087590747,706206.657692239
93,New York Penn Station,"New York, NY",40.75005,-73.99236,106,System.Byte[],NE,STATIONS,New York,"NE, NC, RV, ME, GL, MC",YES,Northeast Corridor,"Northeast Corridor, North Jersey Coast Line, Raritan Valley Line, Morristown Line, Gladstone Branch, Montclair-Boonton Line",632765.70544358,698546.228787407
94,Mountain View-Wayne,Passaic,40.91398,-74.26781,99,System.Byte[],MC,STATIONS,Wayne Twp,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,556295.403331995,757942.989258736
95,Bay Street-Montclair,Essex,40.80818,-74.20868,14,System.Byte[],MC,STATIONS,Montclair Twp,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,572764.175840579,719448.580355324
96,Bay Head,Ocean,40.07719,-74.04618,13,System.Byte[],NC,STATIONS,Bay Head,NC,NO,North Jersey Coast Line,North Jersey Coast Line,619112.506700162,453355.211624488
97,Rutherford,Bergen,40.8283,-74.10058,135,System.Byte[],BC,STATIONS,Rutherford,BC,NO,Bergen County Line,Bergen County Line,602653.229251329,726896.032323904
98,Hillsdale,Bergen,41.00241,-74.04103,61,System.Byte[],PV,STATIONS,Hillsdale,PV,NO,Pascack Valley Line,Pascack Valley Line,618799.976813413,790406.168754824
99,River Edge,Bergen,40.93515,-74.02914,134,System.Byte[],PV,STATIONS,River Edge,PV,NO,Pascack Valley Line,Pascack Valley Line,622213.06611583,765920.030391239
100,Roselle Park,Union,40.66711,-74.2664,31,System.Byte[],LV,STATIONS,Roselle Park,RV,NO,Lehigh Valley Line,Raritan Valley Line,556922.765266247,668008.514600486
101,Netherwood,Union,40.62916,-74.40344,103,System.Byte[],RV,STATIONS,Plainfield,RV,NO,Raritan Valley Line,Raritan Valley Line,518925.27466033,654113.149018571
102,Newark Broad Street,Essex,40.74762,-74.1719,107,System.Byte[],ME,STATIONS,Newark,"ME, GL, MC",YES,Morristown Line,"Morristown Line, Gladstone Branch, Montclair-Boonton Line",583027.48799108,697422.78484007
103,Bradley Beach,Monmouth,40.20378,-74.01896,22,System.Byte[],NC,STATIONS,Neptune Twp,NC,NO,North Jersey Coast Line,North Jersey Coast Line,626480.961123329,499505.650819488
